epoch,train_loss,val_loss
1,0.6103135872439224,0.5984489905952227
2,0.5882903353907701,0.5762009726892604
3,0.5655490129758926,0.5525351007386009
4,0.5405412604816693,0.5255337142118133
5,0.5109014577481817,0.49200913014978465
6,0.47261636085652203,0.44730030221514183
7,0.4203995560863709,0.3848861213957909
8,0.3465475793250209,0.2964419781571568
9,0.24307421814186175,0.17427075735413203
10,0.10559064346389248,0.03257078102024475
11,0.018926572540308766,0.028861013969572465
12,0.015561212881035947,0.028934256311985526
13,0.015515436967701345,0.028895564008467267
14,0.015533902282932364,0.028862686440496162
15,0.015435557639947143,0.028868307645368105
16,0.015497544242321722,0.02885767079816006
17,0.015629802835651376,0.028859522046134022
18,0.015535436305725719,0.029085979677072847
19,0.015661959548695415,0.02905405740631689
20,0.015541389143010221,0.028860810332664168
21,0.01547762551452747,0.02921336951969874
22,0.015634127004357526,0.028856265589152233
23,0.015517904352326903,0.028867084791164586
24,0.015455160674032197,0.028866782120548853
25,0.01560611794410066,0.02893454725346943
26,0.015499082795429518,0.02909093682128604
27,0.015535000928337742,0.02900478040965477
28,0.015533980971988796,0.028856503528238524
29,0.015502630385889568,0.02898932572933707
30,0.015546403153745053,0.028863685555977396
31,0.01547512008121613,0.02885549493355326
32,0.015468854564955703,0.02895451536273012
33,0.015440817839181607,0.028867058824784686
34,0.015525791981969081,0.02887798004811353
35,0.015590505699124988,0.028889764026545063
36,0.015728878997093788,0.028866924234841128
37,0.015582202148214064,0.02888923064611926
38,0.015779532931638262,0.02887403968684744
39,0.01551158674874537,0.02897133681886267
40,0.015492227929618616,0.028858735382851986
41,0.015461282936040857,0.028866364224122303
42,0.015465922265538438,0.028863926261368366
43,0.01553840236173575,0.028884687599274192
