epoch,train_loss,val_loss,val_accuracy
1,1.590166739039951,1.2750064659118652,0.531
2,1.267613080936008,1.0652258840560913,0.6174
3,1.119210219277276,1.0431315279006959,0.6392
4,1.0253185766326056,0.8935458322525024,0.6856
5,0.9672183013810052,0.8683537488937378,0.6948
6,0.9234308792750041,0.8589112984657288,0.6986
7,0.8844778032090929,0.8175089213848113,0.7142
8,0.8575156792534723,0.8279657117843628,0.7112
9,0.8329164681010776,0.8011672576904297,0.7244
10,0.8096968162112765,0.783707835483551,0.7258
11,0.7966553361680773,0.7579887907028198,0.7328
12,0.7832379055447048,0.7472824394226074,0.7448
13,0.7688725018607245,0.7643189855575562,0.7368
14,0.751736954053243,0.7416264958381653,0.7484
15,0.7459033784442478,0.7173588088989258,0.7546
16,0.7359144490559896,0.6943855676651001,0.7614
17,0.7225041616121928,0.7428742051124573,0.7504
18,0.7073447670194838,0.7062582140922546,0.76
19,0.7078830424732632,0.7066549812316895,0.7558
20,0.6968218745019701,0.6863228302001954,0.758
21,0.6884309505515629,0.6853204083442688,0.7664
22,0.6870309853977628,0.6893856876373291,0.7642
23,0.6753507149484422,0.6792062126159668,0.7596
24,0.667622493256463,0.6962686828613281,0.7564
25,0.6683653026262919,0.6762703094482422,0.767
26,0.6613603235350715,0.6972368282318115,0.7638
27,0.6563912149429322,0.6547640882492065,0.7728
28,0.6457658916367425,0.6832152318954468,0.7694
29,0.6464268245802985,0.6986607872009277,0.76
30,0.6381552231046889,0.6681388582229614,0.7728
