epoch,train_loss,val_loss
1,0.6932628476107133,0.6923632668976737
2,0.6932490662545328,0.6924413950136392
3,0.6932065640684,0.6924901073521906
4,0.6931892627523647,0.6924770285587499
5,0.6931971113763281,0.6925355550086144
6,0.6931768084702707,0.6925050138246895
7,0.6931862625423839,0.6925796317582084
8,0.6931671090136552,0.6925945240672272
9,0.6931748708921599,0.6925684266751355
10,0.693179776807867,0.6925684803783303
11,0.6931442559225425,0.6926099038360143
12,0.6931435348180583,0.6926362856779948
13,0.6931638845798067,0.6926149401334253
