epoch,train_loss,val_loss
1,0.6902222945514035,0.6729719390963563
2,0.6572604471162504,0.624912976038338
3,0.6008955614175134,0.5562862736163753
4,0.5692486745257099,0.5462342034472097
5,0.5760211947208729,0.5974477204946008
6,0.5487704525774606,0.5321613237409308
7,0.5486562888178041,0.5600381115875622
8,0.5631522212296626,0.5393569858947603
9,0.5434960377912932,0.5323519364441975
10,0.5430148169644744,0.537882414784762
11,0.5291053160548604,0.545654843939413
12,0.5399622574136433,0.5704325549673326
13,0.5374298158790731,0.5385267840753688
14,0.5360223167917826,0.5689910243053248
15,0.5273246324837799,0.5469643585752733
16,0.5305298775795934,0.5204175557240401
17,0.5225914415411544,0.5378976015761348
18,0.5177536000227586,0.5456397232442799
19,0.5185931579937877,0.5552500031962253
20,0.5193845734180925,0.5672539732243755
21,0.5174706491837823,0.5528424842522877
22,0.5191958446749778,0.5388157922442597
23,0.5088515174559748,0.5555280376188826
24,0.5088685529497519,0.5504636988781466
25,0.5070895203024708,0.5642518241806785
26,0.5001189598963568,0.5773646135141354
