epoch,train_loss,val_loss
1,0.4153215773881803,0.3638858804018191
2,0.31291374939742694,0.2534944882782379
3,0.18509965842044201,0.1010286476795036
4,0.03186051762970371,0.007255648585534332
5,0.0019872612561682803,0.001834403234764491
6,0.0005318429529226234,0.0016355636520403447
7,0.00049111741861761,0.0016343664184286452
8,0.0004920280335621545,0.0016305927869559515
9,0.0004892131526136169,0.0016323782429836764
10,0.0004898521806305772,0.0016342104864445063
11,0.0004941717708752846,0.0016427511570624785
12,0.000491687216874225,0.0016329066025664901
13,0.0004897273196963769,0.0016319823709528634
14,0.0004900338321374327,0.001630762615010585
15,0.0004902979672618554,0.001632011908171053
16,0.0004963252853774417,0.00163725358756757
17,0.0004901940367361715,0.0016450738017954449
18,0.0004930984796119404,0.0016322096459346243
19,0.0004891021059806455,0.0016322697139354331
20,0.0004913029296931136,0.0016319218488170368
