epoch,train_loss,val_loss
1,0.6416893638875808,0.5975256172737272
2,0.5513443821320329,0.49097925572112056
3,0.4129330807970272,0.2971992755290305
4,0.13709202616207525,0.047384066599430424
5,0.02195055471874913,0.02916372294473176
6,0.015832665903122056,0.02881469466898701
7,0.015625757745404492,0.029032765564942123
8,0.015744174001974597,0.029136307131831008
9,0.015604494722783894,0.028891035198870273
10,0.015626233372972843,0.028796666882710882
11,0.01570275853066618,0.028908487667541692
12,0.015504635613752569,0.028912413902211897
13,0.01571409806276465,0.03007061292629431
14,0.01613377824696777,0.029095052492500533
15,0.0162172563181001,0.0296084627435349
16,0.015838307222760105,0.028886587276022033
17,0.015627411392321267,0.029378951222884774
18,0.015894309752091947,0.028796311726074407
19,0.01618745157653271,0.029650700490663547
20,0.01575100789865214,0.028920972111201523
21,0.01590555330662441,0.028970274004605737
22,0.015796573740217625,0.0288331502366184
23,0.015675320285408374,0.029096011441237857
24,0.015932438525452373,0.029680091039379044
25,0.015910877907790385,0.028950710771697582
26,0.01571046566752904,0.029200436381420287
27,0.015850100842897,0.02891070598570427
28,0.015672035457806655,0.029030163062385993
29,0.01629147622960208,0.02894092439719946
30,0.015747564402229203,0.0289226598890111
