epoch,train_loss,val_loss
1,0.41917811680786404,0.37083658900591404
2,0.31470319771648375,0.23248806315483433
3,0.11467335309089872,0.04230795918714882
4,0.019417913217824507,0.028960312873420147
5,0.0160990892709238,0.029041045446797174
6,0.01581103944701226,0.029221232537880983
7,0.015818927946368022,0.029009428281005067
8,0.015608484523068978,0.028921542228153435
9,0.015632429055442425,0.028949027014250804
10,0.01564976138852397,0.028953639071176547
11,0.01584330171371308,0.028951999648372726
12,0.015741852665568528,0.029053106756493596
13,0.015523625611170485,0.028929318458136944
14,0.015825047844645074,0.029165208339691162
15,0.016357761432951708,0.028920743134942386
16,0.016069118545494376,0.02896062159302211
17,0.015533716041007405,0.028922748410760767
18,0.0158493488558795,0.02893760236035479
19,0.015640841237379213,0.02911707131874443
20,0.015622575565055424,0.028979269511038713
21,0.015550871531642325,0.029113934771849377
22,0.015577206576023303,0.02892581668525639
23,0.01585332502620223,0.02949585426266831
24,0.015813982313398228,0.029027260176025995
25,0.015601278528111115,0.029075362341533795
26,0.01608748022618867,0.028913293181374523
27,0.016216562955117607,0.029068131848136978
28,0.015762089477500817,0.029202081853210337
29,0.015599630374662669,0.02891509670137179
30,0.015763226815919334,0.02891967028822049
31,0.015771355962559432,0.028918047942737543
32,0.01590943070335977,0.028997767052733072
33,0.015572866377684616,0.02901935747059265
34,0.015785680352705053,0.02904961007361365
35,0.01585449023498787,0.029453078709026373
36,0.015756408428278357,0.02893910250893914
37,0.015694968369527582,0.02891830768030469
38,0.015692039028368684,0.029012341900627212
