epoch,train_loss,val_loss,val_accuracy
1,1.8332930059221055,1.5873688791275025,0.4306
2,1.614294994439019,1.4745457489013671,0.4716
3,1.522099391555786,1.428870782852173,0.4956
4,1.4593251587761773,1.3774242668151855,0.5122
5,1.4017335122850205,1.3509312000274658,0.5206
6,1.3498971821255155,1.3241828086853027,0.534
7,1.3184121699651081,1.3195593990325927,0.528
8,1.274582885254754,1.2959858194351197,0.536
9,1.237602334658305,1.2698824401855469,0.5466
10,1.2055134560055203,1.295942971611023,0.5482
11,1.1727544285244411,1.27170561504364,0.5508
12,1.1424210018793741,1.2687167222976685,0.5542
13,1.1092374657948811,1.2497114381790162,0.5604
14,1.0742272797266643,1.2538555606842041,0.5558
15,1.0483433255089654,1.2404625345230103,0.5716
16,1.0220324799643623,1.2462098140716553,0.5674
17,0.9946377624511719,1.2494799066543578,0.5638
18,0.9686249266094632,1.283162822341919,0.5618
19,0.935410384411282,1.270072812461853,0.5646
20,0.916583950720893,1.2825421226501466,0.5628
21,0.8965189817640516,1.2684042602539063,0.5692
22,0.882038194211324,1.2973629198074341,0.5692
23,0.8566296290291681,1.2955955856323242,0.5648
24,0.836249956978692,1.3147270149230956,0.568
25,0.8142438104841444,1.3023115886688232,0.5656
