epoch,train_loss,val_loss
1,0.4137342018164535,0.3601523717441181
2,0.30714666739257374,0.2440823896391557
3,0.17138078781065302,0.08066884446704742
4,0.02208119896560773,0.005556240982127072
5,0.0019357196733763961,0.001647182525882479
6,0.0011644601389968383,0.0016318845682510054
7,0.0011404951880927478,0.001639854642424253
8,0.0011349653272223874,0.0016299623783936005
9,0.0011346925862040056,0.001647426829774781
10,0.0011518268514316417,0.0016347265267504913
11,0.0011389344387978846,0.001631793957941308
12,0.0011381424173766278,0.0016299992578454538
13,0.0011446838752233255,0.0016382727495366984
14,0.0011324475061572593,0.0016349077934749647
15,0.001137678510948581,0.001644428399861744
16,0.0011393429408676234,0.001642132260938092
17,0.0011363179370941512,0.001632942767389635
18,0.0011398189885147008,0.0016385534603038047
19,0.0011421150404260637,0.0016344508921524675
20,0.0011492346374978434,0.0016310983660197493
