epoch,train_loss,val_loss
1,0.48481237392178445,0.4018365790938387
2,0.317576717071917,0.20862369357359292
3,0.09523870931915701,0.04246033005195089
4,0.020662323049091977,0.028999185208046792
5,0.015959657141332982,0.028813242986060604
6,0.0154716343246195,0.028816374184766617
7,0.0156354280517261,0.028926913064010074
8,0.015441640640599726,0.02885920521203834
9,0.015710268092630257,0.028831896289150314
10,0.015578806400299072,0.028970370235124436
11,0.015503824836355783,0.028831025161365473
12,0.015493016913861792,0.028815411178782436
13,0.015500862954354865,0.029117815528470693
14,0.015664406846736402,0.028864867026262946
15,0.01598705297958233,0.028818052594024358
16,0.015813523641650902,0.029066589282880917
17,0.015732987224234243,0.02881697443599748
