epoch,train_loss,val_loss
1,0.20696005628369707,0.18046662137650027
2,0.15480972675285318,0.12470954258253078
3,0.09109626175350644,0.04985298843371986
4,0.016640171782967235,0.002827597141155217
5,0.0013001507209897936,0.0009222673655644354
6,0.0005869473266333138,0.0008175228929866363
7,0.0005723608176306881,0.0008196806198557709
8,0.0005673558027704017,0.0008149959520427603
9,0.0005672894626724079,0.0008225424173702993
10,0.0005753928426458377,0.0008164609547261849
11,0.0005687508105002832,0.000815848211324451
12,0.0005689909784509165,0.0008149929552126934
13,0.0005720777118425257,0.0008201833865098139
14,0.0005659018001734912,0.0008173715761208003
15,0.0005686858220324088,0.0008223305691476211
16,0.000569539126096684,0.0008206998417615005
17,0.0005682448653035441,0.0008160346879227327
18,0.0005695881690860703,0.0008184620810875504
19,0.0005704848067687977,0.0008168877632643032
20,0.0005742640081234486,0.0008165525655160741
21,0.0005720757660529499,0.0008150414577546982
22,0.0005716328318057563,0.0008227317870622224
23,0.0005728526677717922,0.0008214426959984669
24,0.0005700409179028405,0.0008228893304188358
