epoch,train_loss,val_loss,val_accuracy
1,1.7960279248555502,1.582625061416626,0.4326
2,1.5702664505428738,1.4643466819763185,0.4764
3,1.4733878088209365,1.389980011177063,0.5028
4,1.4070732076009114,1.3626986349105834,0.5176
5,1.343627018377516,1.3230827798843383,0.5344
6,1.297687532212999,1.3149434650421143,0.5322
7,1.2494954880820381,1.285117567062378,0.5402
8,1.2023740724775527,1.2703801654815674,0.5438
9,1.1657883420096504,1.2719400283813476,0.5444
10,1.1267707170062595,1.2772763830184937,0.5514
11,1.0893902838389078,1.2732722904205322,0.5514
12,1.0565209300994873,1.2626316945075988,0.5628
13,1.0116019111951193,1.254182474899292,0.5622
14,0.9856943386713664,1.2666675045013427,0.5648
15,0.9448658629947239,1.2670235006332398,0.5626
16,0.9076955647786459,1.2917861156463624,0.5624
17,0.8860685476091172,1.2942258228302002,0.5688
18,0.8502562003241645,1.3077926834106446,0.5648
19,0.8244678773668077,1.3186543846130372,0.5646
20,0.799546774482727,1.342551377105713,0.5636
