epoch,train_loss,val_loss,val_accuracy
1,1.730671127764384,1.3187597400665283,0.5314
2,1.4305331181844076,1.191234280014038,0.5812
3,1.3115295664681328,1.1097542568206786,0.6212
4,1.2425221643659803,1.03992841796875,0.6402
5,1.184715600734287,0.9918910942077637,0.6548
6,1.1462682317945692,0.9776228649139405,0.6602
7,1.11251380221049,0.9454561884880066,0.6654
8,1.0774478418774076,0.9558511009216308,0.6596
9,1.0585352080663046,0.9164384475708007,0.6818
10,1.0373167821884155,0.9141817485809326,0.6746
11,1.0107137889862061,0.9091615051269532,0.6808
12,1.0010396549860636,0.8794260276794433,0.6862
13,0.9871372480922275,0.8775209299087524,0.6938
14,0.9750348360485501,0.8805937154769897,0.6942
15,0.9530739103105333,0.8725439081192017,0.6998
16,0.9441448583814833,0.8493825433731079,0.7112
17,0.933537141693963,0.8659228959083557,0.6972
18,0.9164052760124206,0.8677907007217407,0.696
19,0.9113115018632677,0.8637792763710022,0.7002
20,0.8994934872150421,0.8405664125442505,0.7112
21,0.8896879917568631,0.8498619348526001,0.7056
22,0.8866507794274224,0.840741390132904,0.709
23,0.8711966393576728,0.8326463191986084,0.7098
24,0.8648343047883775,0.832304462814331,0.7122
25,0.8578785220570034,0.827975582408905,0.712
26,0.8508116809950934,0.8282566192626953,0.71
27,0.8435264557520549,0.8197268337249756,0.7164
28,0.8347060986042023,0.8304557916641235,0.7092
29,0.827192663998074,0.8240937250137329,0.7156
30,0.8222640475379096,0.8399841476440429,0.7052
