epoch,train_loss,val_loss
1,0.31479096925043604,0.1380540186373314
2,0.032007295578343344,0.0036133255597462157
3,0.0024780278363036204,0.0016762810012344086
4,0.0011680907596862352,0.0016503520079399689
5,0.0011565648851086193,0.0016684395233445828
6,0.0011521079508929482,0.0016339625609983312
7,0.0011551383153163737,0.0016299229262783975
8,0.001137531164554793,0.001635104514621567
9,0.0011370930783429604,0.0016850535435104135
10,0.0011543757842618473,0.0016756867805477417
11,0.0011501954499634221,0.001630160178399027
12,0.0011527977595468006,0.0016552671850059587
13,0.001136987572987359,0.00163279232652028
14,0.0011448113485570187,0.0016298800577769184
15,0.0011511410913929414,0.001629660136555091
16,0.0011481172708361887,0.0016317099775418197
17,0.0011430655700850733,0.0016406169714461459
18,0.0011444691407311552,0.0016328045120923827
19,0.0011548311020412483,0.0017244620663621048
20,0.0011455414030835318,0.0016337018506140401
21,0.0011376734218468813,0.0016625791714333072
22,0.0011374387733130101,0.0016308274802447546
23,0.001143346090127505,0.0016296060230250996
24,0.0011656069822279735,0.0016608145180167539
25,0.0011669000217758262,0.001630885010161022
26,0.0011956453386985822,0.0016529061624061057
27,0.001205299369200199,0.0016711484410311325
28,0.0011426217457922144,0.0016312312961804984
29,0.0011511828523709858,0.0016495317755506772
30,0.00117131315836874,0.0016467291953982694
31,0.0011475112845280167,0.0016346484708535198
32,0.0011450896450930527,0.001716332736028598
33,0.0011685967726305887,0.0016535341481466106
34,0.0011503271337059402,0.0016385317540331052
35,0.001170549567698542,0.0016350451912177672
