seed,acc_real,acc_aumentado,majoritaria,diferenca
0,0.5379310344827586,0.5471264367816092,0.5379310344827586,0.00919540229885063
1,0.46206896551724136,0.45517241379310347,0.5379310344827586,-0.006896551724137889
2,0.46206896551724136,0.46436781609195404,0.5379310344827586,0.0022988505747126853
3,0.46206896551724136,0.5379310344827586,0.5379310344827586,0.07586206896551723
4,0.46206896551724136,0.45057471264367815,0.5379310344827586,-0.011494252873563204
5,0.46206896551724136,0.4436781609195402,0.5379310344827586,-0.01839080459770115
6,0.46206896551724136,0.49885057471264366,0.5379310344827586,0.0367816091954023
7,0.46206896551724136,0.4666666666666667,0.5379310344827586,0.004597701149425315
8,0.46206896551724136,0.45977011494252873,0.5379310344827586,-0.0022988505747126298
9,0.46206896551724136,0.45977011494252873,0.5379310344827586,-0.0022988505747126298
