run,tarefa,rmse,r2,dir_acc,razao_mov,corr_mov,bate_naive,acc,f1,janela,hidden,celula,lr,diff,log,epocas
arq_gru,regression,607.2083649567568,0.9695414491935023,0.515748031496063,0.03895576168527761,0.06868103274021578,True,,,10,64,gru,0.0001,True,True,17
arq_lstm,regression,606.4940620217711,0.9696130682176943,0.5275590551181102,0.04789689593729174,0.08206065381695282,True,,,10,64,lstm,0.0001,True,True,30
arq_rnn,regression,608.7063816251432,0.9693909779479736,0.531496062992126,0.05380681424936379,0.03380428793444279,False,,,10,64,rnn,0.0001,True,True,32
cap_h128,regression,606.5473681944758,0.9696077264268361,0.5393700787401575,0.04804429412731389,0.08346280920435202,True,,,10,128,lstm,0.0001,True,True,24
cap_h16,regression,606.6873931472451,0.9695936923443603,0.49606299212598426,0.02477741484233419,0.11709311794457408,True,,,10,16,lstm,0.0001,True,True,43
cap_h32,regression,607.2341901314575,0.9695388582735859,0.49606299212598426,0.0401389966315924,0.07351852072256926,True,,,10,32,lstm,0.0001,True,True,30
cap_l1,regression,606.8501451953638,0.9695773763546801,0.531496062992126,0.08849287465833187,0.08106539952603181,True,,,10,64,lstm,0.0001,True,True,19
cap_l3,regression,607.8694354188685,0.9694750923707476,0.48031496062992124,0.008837972202304019,0.12167283402586486,True,,,10,64,lstm,0.0001,True,True,38
formul_dolar,regression,607.3112463569126,0.9695311270143095,0.5433070866141733,0.023421027227135925,0.04995520825348198,True,,,30,64,lstm,0.001,True,False,69
formul_lognivel,regression,1217.5379294628112,0.8775387371843492,0.5039370078740157,1.328279529569377,0.08578841682481902,False,,,30,64,lstm,0.001,False,True,80
formul_logretorno,regression,607.9819443346125,0.9694637917792542,0.5,0.02443292700217605,-0.005382758651745733,False,,,30,64,lstm,0.001,True,True,27
formul_nivel,regression,3850.5650509342095,-0.224849364105407,0.484251968503937,4.279943579745494,0.12070613743086046,False,,,30,64,lstm,0.001,False,False,80
loss_huber,regression,607.6435582789708,0.9694977735499656,0.5078740157480315,0.050896064984867324,0.027766114521197528,True,,,30,64,lstm,0.0001,True,True,24
loss_mae,regression,607.0351832241029,0.9695588208658501,0.5078740157480315,0.04298075657198258,0.07577504786886018,True,,,30,64,lstm,0.0001,True,True,28
loss_mse,regression,607.6923719847254,0.9694928726948794,0.49606299212598426,0.04933829038749883,0.025338388575974986,True,,,30,64,lstm,0.0001,True,True,20
lr_0.0001,regression,607.6923719847254,0.9694928726948794,0.49606299212598426,0.04933829038749883,0.025338388575974986,True,,,30,64,lstm,0.0001,True,True,20
lr_0.0003,regression,607.8487664954847,0.9694771681660221,0.48031496062992124,0.03803142013647014,0.013049448079256145,True,,,30,64,lstm,0.0003,True,True,35
lr_0.001,regression,607.9819443346125,0.9694637917792542,0.5,0.02443292700217605,-0.005382758651745733,False,,,30,64,lstm,0.001,True,True,27
lr_0.003,regression,608.4201198740565,0.9694197607311976,0.5196850393700787,0.01621607216948544,-0.06379537911435426,False,,,30,64,lstm,0.003,True,True,21
lr_0.01,regression,608.8979077305548,0.9693717129977407,0.5196850393700787,0.015163204875420395,-0.1165311002137747,False,,,30,64,lstm,0.01,True,True,19
win_10,regression,606.9886067737926,0.969563492053658,0.5196850393700787,0.0524712834425193,0.04920703970640186,True,,,10,64,lstm,0.0001,True,True,35
win_3,regression,611.3643804711288,0.9691230774306082,0.5118110236220472,0.09061547425758533,-0.02121557146876384,False,,,3,64,lstm,0.0001,True,True,29
win_5,regression,607.3545625009195,0.9695267804186505,0.5196850393700787,0.06041781456405343,0.03997816174222021,True,,,5,64,lstm,0.0001,True,True,52
win_60,regression,608.1575627488401,0.9694461481796783,0.5118110236220472,0.05189697143700151,0.012740627811676326,False,,,60,64,lstm,0.0001,True,True,20
