dobra,disc,acc_ens,cob60,acc60,cob50,acc50
1,0.05829145728643216,0.7738693467336684,0.6231155778894473,0.8467741935483871,0.5276381909547738,0.8761904761904762
2,0.06409826912339475,0.7688442211055276,0.6733668341708543,0.8208955223880597,0.5678391959798995,0.8849557522123894
3,0.05873813512004466,0.7135678391959799,0.6130653266331658,0.8032786885245902,0.5376884422110553,0.7850467289719626
4,0.07370184254606366,0.7185929648241206,0.6231155778894473,0.8225806451612904,0.5326633165829145,0.8113207547169812
5,0.09078726968174203,0.7185929648241206,0.6381909547738693,0.8188976377952756,0.4472361809045226,0.8089887640449438
