horizonte,n_treino,n_teste,maj,acc_media,acc_dp,ganho
1,1565,434,0.5368663668632507,0.4631336405529954,0.0,-0.07373272631025535
3,1563,434,0.5023041367530823,0.5023041474654378,0.0,1.0712355558162301e-08
5,1562,433,0.5011547207832336,0.5011547344110855,0.0,1.3627851846997885e-08
10,1558,432,0.5254629850387573,0.5365740740740741,0.022222222222222233,0.011111089035316768
