epoch,loss_d,loss_g
0,1.3517498796184857,0.6989638643960158
1,1.3176830212275188,0.7116247614224752
2,1.2831256960829098,0.7139570526778698
3,1.312813585003217,0.6893666808803877
4,1.4145176981886227,0.7327859736979008
5,1.356883245209853,0.9697881912191709
6,1.2800990343093872,1.0573405275742214
7,1.2838130022088687,0.9666804410517216
8,1.2825277596712112,0.8744603345791498
9,1.2389901553591092,0.8671898568669955
10,1.1749765301744144,0.9546199205021063
11,1.2237272933125496,0.9533930892745653
12,1.3877309436599414,0.8025852950910727
13,1.486887124677499,0.6944410962363085
14,1.45584570368131,0.7006162988642851
15,1.410607914129893,0.7334476287166277
16,1.3802351827422779,0.7596829583247503
17,1.3601402342319489,0.7820941247045994
18,1.3452493275205295,0.8052633429567019
19,1.3347495670119922,0.8220479860901833
20,1.3276110614339511,0.8319018023709456
21,1.3225858584046364,0.842520359903574
22,1.316670132180055,0.8455624406536421
23,1.3228176608681679,0.8346440394719442
24,1.347282777229945,0.802430464575688
25,1.3756208966175716,0.7872026326755682
26,1.4037170285979907,0.7834024752179781
27,1.405555968483289,0.7951847799122334
28,1.4091499398152034,0.789911050349474
29,1.3947860673069954,0.7880702254672846
30,1.3621441225210826,0.8122535832226276
31,1.3545742655793827,0.8226034541924795
32,1.3802608201901119,0.8143967216213545
33,1.3624658361077309,0.8287539519369602
34,1.3950617810090382,0.7831523530185223
35,1.4073179836074512,0.7658056778212389
36,1.3940382127960522,0.7793991230428219
37,1.3816672737399738,0.7929624542593956
38,1.3724098230401676,0.799830382068952
39,1.3709638615449269,0.803019929677248
40,1.3736968090136845,0.8000734411180019
41,1.3795309513807297,0.7981041992704073
42,1.3885529587666194,0.7994139244159063
43,1.3910278404752414,0.8063222542405128
44,1.380516231060028,0.8117974065244198
45,1.3678992862502735,0.8162588986257712
46,1.3851241196195285,0.793297299494346
47,1.3955590451757114,0.784735011557738
48,1.3839803511897724,0.7933880190054575
49,1.376077155272166,0.7970901628335317
50,1.3727759619553883,0.7999773137271404
51,1.375127911567688,0.8030619571606318
52,1.376670355598132,0.8058041706681252
53,1.376910425722599,0.8061798214912415
54,1.3770162214835484,0.8063801266252995
55,1.3751581261555355,0.8066646580894788
56,1.3720961436629295,0.8087046891450882
57,1.3622749696175258,0.8157277591526508
58,1.3500598569711049,0.8238217309117317
59,1.3759649445613225,0.8043385234971842
60,1.3741187453269958,0.7990389031668504
61,1.3582939753929775,0.8041408645610014
62,1.3654873644312222,0.7965881985922655
63,1.3857396915555,0.795126598328352
64,1.3818438226977985,0.7974457653860251
65,1.373387023806572,0.8043572430809339
66,1.3757863665620487,0.8033184421559175
67,1.3935070633888245,0.7850960505505403
68,1.3948706289132435,0.7823089361190796
69,1.3798131470878918,0.7951333895325661
70,1.37180012712876,0.7988584364453951
71,1.3887880866726239,0.7906489906211694
72,1.3898207917809486,0.7890812767048677
73,1.380482556919257,0.7961263209581375
74,1.3685685247182846,0.8107051414748033
75,1.3707776094476383,0.8071574320395788
76,1.3825831313927968,0.7864211338261763
77,1.374462532500426,0.7957543457547823
78,1.3640316501259804,0.8095939134558042
79,1.3590151593089104,0.8138198802868525
80,1.3768240263064702,0.7930793017148972
81,1.3732097074389458,0.8062223680317402
82,1.3564509699742,0.814922396093607
83,1.3881181726853054,0.7852481131752332
84,1.3782838756839435,0.8015788793563843
85,1.3676742588480313,0.7961497803529104
86,1.392541376252969,0.7882692453761896
87,1.388804979622364,0.7935147931178411
88,1.3755919461448987,0.8028986689945062
89,1.3736238007744153,0.8082501764098803
90,1.3895017156998317,0.7850348775585493
91,1.3779304896791775,0.7937222371498743
92,1.3675601308544476,0.8008515412608782
93,1.3692807977398236,0.8015392683446407
94,1.3809615174929302,0.7965540128449599
95,1.3778299291928608,0.8018646575510502
96,1.3636139631271362,0.8176349538067976
97,1.3782834286491077,0.7944656076530615
98,1.3815173506736755,0.7892991018791994
99,1.3688473999500275,0.7987421738604704
100,1.3738989035288494,0.7987436267236868
101,1.388083502650261,0.7970047108829021
102,1.3738050212462742,0.805381132910649
103,1.369597392777602,0.8070242082079252
104,1.386876069009304,0.7877013248701891
105,1.376204527914524,0.7926031375924746
106,1.365778389076392,0.8012333959341049
107,1.3836144556601842,0.7954762068887552
108,1.3812406261761982,0.7985693551599979
109,1.3670845304926236,0.8127077780663967
110,1.3839497317870457,0.7880495488643646
111,1.3816189989447594,0.7881428375840187
112,1.370418521265189,0.8004560731351376
113,1.3719764376680057,0.8015400866667429
114,1.3811495030919712,0.7944909110665321
115,1.378940758605798,0.8001454522212347
116,1.3675861631830533,0.811258140951395
117,1.3764580090840657,0.7966877532502016
118,1.3778747965892155,0.7957554683089256
119,1.3707609598835309,0.800585343192021
120,1.3782452369729679,0.7962091925243536
121,1.3822235042850177,0.7937496329347292
122,1.3775500605503719,0.8029212405284246
123,1.3782149453957875,0.7995606896777948
124,1.3833758383989334,0.7913076095283031
125,1.3767581656575203,0.7959955682357153
126,1.3740941509604454,0.7988148195048174
127,1.3790369803706806,0.7997026853263378
128,1.3746560737490654,0.8043751356502374
129,1.3683373406529427,0.8120170372227827
130,1.377308376133442,0.7908822620908419
131,1.3712631613016129,0.7992435085276762
132,1.3811588039000828,0.7952079723278681
133,1.3792280380924542,0.8018011252085367
134,1.3785123179356258,0.7938311137259007
135,1.3824926639596622,0.7903727317849795
136,1.3772373472650845,0.793188621600469
137,1.374070865412553,0.7985343895852566
138,1.3787250171105068,0.7968578388293585
139,1.3774883225560188,0.798185933381319
140,1.3729163830478985,0.8042311569054922
141,1.3756606876850128,0.7981188806394736
142,1.3754760349790256,0.7982091357310613
143,1.3741855223973591,0.797461257626613
144,1.3750748659173648,0.8001303014655908
145,1.3757968718806903,0.7981014711161455
146,1.376896155377229,0.8032767102122307
147,1.3763971775770187,0.7967992400129636
148,1.377989538013935,0.798344649374485
149,1.3797209039330482,0.7955125768979391
150,1.3762387136618297,0.8007682027916113
151,1.379221650461356,0.798131256053845
152,1.3779882391293843,0.7982736838360628
153,1.3749804745117824,0.8020424507558346
154,1.3784558822711308,0.7944992631673813
155,1.3742520759503047,0.8023356385529041
156,1.3747023766239483,0.7971611134707928
157,1.3765914663672447,0.8022261944909891
158,1.3725218921899796,0.8015502306322256
159,1.3781029110153515,0.7976860788961252
160,1.3734293406208355,0.7952034672101339
161,1.3794944733381271,0.8012100979685783
162,1.3761447419722874,0.7945020024975141
163,1.3798290093739827,0.7995443120598793
164,1.3791490569710732,0.7947959527373314
165,1.3740671550234158,0.7960088240603606
166,1.3777131910125415,0.8041573303441206
167,1.3790196180343628,0.7917329867680868
168,1.3725080341100693,0.7985630817711353
169,1.3749513626098633,0.8080020261307558
170,1.377139779428641,0.7927563562989235
171,1.3734523231784503,0.7990333127478758
172,1.3755358109871547,0.8039255502323309
173,1.3769876485069592,0.7931966607769331
174,1.3754023239016533,0.8037059257427851
175,1.380206935107708,0.7959495596587658
176,1.3766001587112744,0.796277197698752
177,1.37806998193264,0.8004204506675402
178,1.3792661279439926,0.7964192243913809
179,1.3754929651816685,0.8009131699800491
180,1.3764168918132782,0.8008909200628599
181,1.3751739437381427,0.7965715179840723
182,1.3735680356621742,0.801946122199297
183,1.377176250020663,0.7986733379463354
184,1.374771182735761,0.8017252646386623
185,1.378680815299352,0.7952672330041727
186,1.3761852035919826,0.794947225600481
187,1.3791509593526523,0.798593440403541
188,1.3772824183106422,0.7978166354199251
189,1.3758021220564842,0.7988393505414327
190,1.3777169436216354,0.7976958466072878
191,1.3754335939884186,0.7954245954751968
192,1.3754656488696735,0.8017349615693092
193,1.3763789907097816,0.7983256913721561
194,1.3757291088501613,0.7973843912283579
195,1.3755865295728047,0.8016546815633774
196,1.3768799180785816,0.795140378177166
197,1.3772656619548798,0.8008156145612398
198,1.376141535739104,0.7981597681840261
199,1.3779449512561162,0.7958780253926913
200,1.3759268348415692,0.8033132404088974
201,1.3768363470832508,0.795067235827446
202,1.3774984652797382,0.8015005650619665
203,1.3763170664509137,0.7972975919644038
204,1.3761863708496094,0.7985195716222128
205,1.376082646350066,0.8025648966431618
206,1.3747408042351406,0.7963659850259622
207,1.3770508393645287,0.8031819388270378
208,1.3764386773109436,0.7923269619544347
209,1.3774845227599144,0.799329391370217
210,1.3765505452950795,0.8018651405970255
211,1.3759274731079738,0.7942903737227122
212,1.3778315335512161,0.8009239993989468
213,1.3760888477166493,0.794941975424687
214,1.376934751868248,0.7963414117693901
215,1.375378576417764,0.805110494295756
216,1.3768580953280132,0.7928400747478008
217,1.3761092374722164,0.7981514669954777
218,1.3754104400674503,0.8028764141102632
219,1.377381647626559,0.794289518147707
220,1.3755846917629242,0.8005708903074265
221,1.3768209889531136,0.8007448228696982
222,1.3768512283762295,0.7951988962789377
223,1.3762200052539508,0.8009912160535654
224,1.377945934732755,0.7986024158696333
