dobra,acc_sem_abstencao,cob75,acc75,cob60,acc60,cob50,acc50
1,0.7688442211055276,0.7437185929648241,0.831081081081081,0.6080402010050251,0.8760330578512396,0.5125628140703518,0.8725490196078431
2,0.7638190954773869,0.7939698492462312,0.8037974683544303,0.6984924623115578,0.8057553956834532,0.6381909547738693,0.8267716535433071
3,0.7236180904522613,0.7738693467336684,0.7922077922077922,0.5678391959798995,0.8141592920353983,0.5025125628140703,0.82
4,0.6934673366834171,0.7939698492462312,0.759493670886076,0.6231155778894473,0.8064516129032258,0.507537688442211,0.8316831683168316
5,0.7336683417085427,0.7236180904522613,0.8055555555555556,0.5728643216080402,0.8070175438596491,0.49246231155778897,0.8061224489795918
