run,tarefa,rmse,r2,dir_acc,razao_mov,corr_mov,bate_naive,acc,f1,janela,hidden,celula,lr,diff,log,epocas,config
ohlcseed_11,direction,,,,,,,0.6771653543307087,0.6611570247933883,5,32,lstm,0.001,True,True,80,ohlcseed_11
ohlcseed_123,direction,,,,,,,0.6968503937007874,0.6637554585152838,5,32,lstm,0.001,True,True,80,ohlcseed_123
ohlcseed_13,direction,,,,,,,0.6850393700787402,0.6638655462184875,5,32,lstm,0.001,True,True,80,ohlcseed_13
ohlcseed_2,direction,,,,,,,0.6811023622047244,0.6639004149377594,5,32,lstm,0.001,True,True,80,ohlcseed_2
ohlcseed_3,direction,,,,,,,0.6692913385826772,0.6744186046511628,5,32,lstm,0.001,True,True,80,ohlcseed_3
ohlcseed_5,direction,,,,,,,0.6692913385826772,0.6692913385826772,5,32,lstm,0.001,True,True,80,ohlcseed_5
ohlcseed_777,direction,,,,,,,0.6850393700787402,0.68,5,32,lstm,0.001,True,True,80,ohlcseed_777
ohlcseed_7,direction,,,,,,,0.6771653543307087,0.6719999999999999,5,32,lstm,0.001,True,True,80,ohlcseed_7
optuna_direction_13t_7a20da,direction,,,,,,,0.7333333333333333,0.7070707070707072,3,32,lstm,0.003640716928299541,True,True,40,optuna_direction_13t_7a20da
optuna_direction_15t_2e3688,direction,,,,,,,0.7244094488188977,0.7307692307692307,10,64,gru,0.003946684366281851,True,True,35,optuna_direction_15t_2e3688
optuna_direction_33t_48db11,direction,,,,,,,0.7402298850574712,0.7365967365967365,2,64,gru,0.005775875548345632,True,True,60,optuna_direction_33t_48db11
optval_s0,direction,,,,,,,0.7244094488188977,0.717741935483871,10,64,gru,0.0039468,True,True,35,optval
optval_s11,direction,,,,,,,0.7244094488188977,0.7222222222222223,10,64,gru,0.0039468,True,True,42,optval
optval_s123,direction,,,,,,,0.7283464566929134,0.7250996015936256,10,64,gru,0.0039468,True,True,38,optval
optval_s1,direction,,,,,,,0.7322834645669292,0.7258064516129032,10,64,gru,0.0039468,True,True,42,optval
optval_s2,direction,,,,,,,0.7440944881889764,0.7302904564315353,10,64,gru,0.0039468,True,True,37,optval
optval_s3,direction,,,,,,,0.7244094488188977,0.7222222222222223,10,64,gru,0.0039468,True,True,37,optval
optval_s42,direction,,,,,,,0.7283464566929134,0.7160493827160495,10,64,gru,0.0039468,True,True,34,optval
optval_s5,direction,,,,,,,0.7283464566929134,0.7294117647058822,10,64,gru,0.0039468,True,True,39,optval
optval_s777,direction,,,,,,,0.7244094488188977,0.7265625,10,64,gru,0.0039468,True,True,30,optval
optval_s7,direction,,,,,,,0.7283464566929134,0.7228915662650603,10,64,gru,0.0039468,True,True,37,optval
p1_optval_s0,direction,,,,,,,0.7264367816091954,0.7002518891687657,10,64,gru,0.0039468,True,True,33,p1_optval
p1_optval_s11,direction,,,,,,,0.7195402298850575,0.6950000000000001,10,64,gru,0.0039468,True,True,26,p1_optval
p1_optval_s123,direction,,,,,,,0.7241379310344828,0.7115384615384616,10,64,gru,0.0039468,True,True,54,p1_optval
p1_optval_s1,direction,,,,,,,0.7126436781609196,0.6943765281173594,10,64,gru,0.0039468,True,True,35,p1_optval
p1_optval_s2,direction,,,,,,,0.7195402298850575,0.6950000000000001,10,64,gru,0.0039468,True,True,41,p1_optval
p1_optval_s3,direction,,,,,,,0.7195402298850575,0.6965174129353234,10,64,gru,0.0039468,True,True,27,p1_optval
p1_optval_s42,direction,,,,,,,0.7080459770114943,0.650137741046832,10,64,gru,0.0039468,True,True,49,p1_optval
p1_optval_s5,direction,,,,,,,0.6919540229885057,0.6149425287356322,10,64,gru,0.0039468,True,True,32,p1_optval
p1_optval_s777,direction,,,,,,,0.7218390804597701,0.709832134292566,10,64,gru,0.0039468,True,True,28,p1_optval
p1_optval_s7,direction,,,,,,,0.6873563218390805,0.6222222222222222,10,64,gru,0.0039468,True,True,32,p1_optval
p3_opt_s0,direction,,,,,,,0.7218390804597701,0.6824146981627296,3,32,lstm,0.0036407,True,True,38,p3_opt
p3_opt_s11,direction,,,,,,,0.7172413793103448,0.7172413793103448,3,32,lstm,0.0036407,True,True,29,p3_opt
p3_opt_s123,direction,,,,,,,0.7080459770114943,0.6558265582655827,3,32,lstm,0.0036407,True,True,54,p3_opt
p3_opt_s1,direction,,,,,,,0.728735632183908,0.7107843137254902,3,32,lstm,0.0036407,True,True,24,p3_opt
p3_opt_s2,direction,,,,,,,0.7172413793103448,0.6838046272493573,3,32,lstm,0.0036407,True,True,28,p3_opt
p3_opt_s3,direction,,,,,,,0.7333333333333333,0.7264150943396226,3,32,lstm,0.0036407,True,True,45,p3_opt
p3_opt_s42,direction,,,,,,,0.7333333333333333,0.7070707070707072,3,32,lstm,0.0036407,True,True,40,p3_opt
p3_opt_s5,direction,,,,,,,0.7402298850574712,0.723716381418093,3,32,lstm,0.0036407,True,True,29,p3_opt
p3_opt_s777,direction,,,,,,,0.6919540229885057,0.6378378378378378,3,32,lstm,0.0036407,True,True,26,p3_opt
p3_opt_s7,direction,,,,,,,0.7057471264367816,0.6559139784946237,3,32,lstm,0.0036407,True,True,29,p3_opt
p5_faixa_s0,direction,,,,,,,0.728735632183908,0.7216981132075473,3,32,lstm,0.0036407,True,True,23,p5_faixa
p5_faixa_s1,direction,,,,,,,0.7402298850574712,0.7414187643020594,3,32,lstm,0.0036407,True,True,23,p5_faixa
p5_faixa_s2,direction,,,,,,,0.7425287356321839,0.7522123893805308,3,32,lstm,0.0036407,True,True,26,p5_faixa
p5_faixa_s42,direction,,,,,,,0.728735632183908,0.7400881057268722,3,32,lstm,0.0036407,True,True,20,p5_faixa
p5_faixa_s777,direction,,,,,,,0.728735632183908,0.7255813953488371,3,32,lstm,0.0036407,True,True,37,p5_faixa
p5_trades_s0,direction,,,,,,,0.7006960556844548,0.6578249336870026,3,32,lstm,0.0036407,True,True,41,p5_trades
p5_trades_s1,direction,,,,,,,0.7215777262180975,0.7413793103448276,3,32,lstm,0.0036407,True,True,26,p5_trades
p5_trades_s2,direction,,,,,,,0.740139211136891,0.7358490566037736,3,32,lstm,0.0036407,True,True,46,p5_trades
p5_trades_s42,direction,,,,,,,0.7238979118329466,0.6909090909090909,3,32,lstm,0.0036407,True,True,37,p5_trades
p5_trades_s777,direction,,,,,,,0.703016241299304,0.6613756613756613,3,32,lstm,0.0036407,True,True,23,p5_trades
p5_tudo_s0,direction,,,,,,,0.7302325581395349,0.7339449541284404,3,32,lstm,0.0036407,True,True,29,p5_tudo
p5_tudo_s1,direction,,,,,,,0.7302325581395349,0.7251184834123223,3,32,lstm,0.0036407,True,True,31,p5_tudo
p5_tudo_s2,direction,,,,,,,0.7232558139534884,0.7047146401985113,3,32,lstm,0.0036407,True,True,37,p5_tudo
p5_tudo_s42,direction,,,,,,,0.7255813953488373,0.7377777777777778,3,32,lstm,0.0036407,True,True,34,p5_tudo
p5_tudo_s777,direction,,,,,,,0.7162790697674418,0.695,3,32,lstm,0.0036407,True,True,37,p5_tudo
p5_vol_s0,direction,,,,,,,0.7209302325581395,0.6954314720812184,3,32,lstm,0.0036407,True,True,39,p5_vol
p5_vol_s1,direction,,,,,,,0.7232558139534884,0.7047146401985113,3,32,lstm,0.0036407,True,True,54,p5_vol
p5_vol_s2,direction,,,,,,,0.7232558139534884,0.721311475409836,3,32,lstm,0.0036407,True,True,47,p5_vol
p5_vol_s42,direction,,,,,,,0.7232558139534884,0.6876640419947507,3,32,lstm,0.0036407,True,True,39,p5_vol
p5_vol_s777,direction,,,,,,,0.7325581395348837,0.7132169576059851,3,32,lstm,0.0036407,True,True,60,p5_vol
p6_faixa_s101,direction,,,,,,,0.7172413793103448,0.6962962962962964,3,32,lstm,0.0036407,True,True,31,p6_faixa
p6_faixa_s11,direction,,,,,,,0.7241379310344828,0.7247706422018348,3,32,lstm,0.0036407,True,True,42,p6_faixa
p6_faixa_s123,direction,,,,,,,0.7379310344827587,0.7311320754716981,3,32,lstm,0.0036407,True,True,27,p6_faixa
p6_faixa_s13,direction,,,,,,,0.7310344827586207,0.7310344827586206,3,32,lstm,0.0036407,True,True,31,p6_faixa
p6_faixa_s17,direction,,,,,,,0.735632183908046,0.7356321839080461,3,32,lstm,0.0036407,True,True,26,p6_faixa
p6_faixa_s19,direction,,,,,,,0.7310344827586207,0.7417218543046358,3,32,lstm,0.0036407,True,True,39,p6_faixa
p6_faixa_s2024,direction,,,,,,,0.7195402298850575,0.7227272727272728,3,32,lstm,0.0036407,True,True,30,p6_faixa
p6_faixa_s23,direction,,,,,,,0.7034482758620689,0.6596306068601583,3,32,lstm,0.0036407,True,True,33,p6_faixa
p6_faixa_s3,direction,,,,,,,0.7218390804597701,0.724373576309795,3,32,lstm,0.0036407,True,True,29,p6_faixa
p6_faixa_s5,direction,,,,,,,0.7149425287356321,0.7004830917874396,3,32,lstm,0.0036407,True,True,39,p6_faixa
p6_faixa_s7,direction,,,,,,,0.7195402298850575,0.7053140096618358,3,32,lstm,0.0036407,True,True,51,p6_faixa
p6_faixa_s999,direction,,,,,,,0.7425287356321839,0.7454545454545455,3,32,lstm,0.0036407,True,True,29,p6_faixa
p8_best_s0,direction,,,,,,,0.7241379310344828,0.7101449275362318,2,64,gru,0.005775875548345632,True,True,35,p8_best
p8_best_s11,direction,,,,,,,0.7241379310344828,0.7101449275362318,2,64,gru,0.005775875548345632,True,True,24,p8_best
p8_best_s123,direction,,,,,,,0.7264367816091954,0.7238979118329467,2,64,gru,0.005775875548345632,True,True,33,p8_best
p8_best_s13,direction,,,,,,,0.7241379310344828,0.7222222222222223,2,64,gru,0.005775875548345632,True,True,26,p8_best
p8_best_s1,direction,,,,,,,0.7218390804597701,0.6936708860759493,2,64,gru,0.005775875548345632,True,True,32,p8_best
p8_best_s2,direction,,,,,,,0.728735632183908,0.7230046948356808,2,64,gru,0.005775875548345632,True,True,35,p8_best
p8_best_s3,direction,,,,,,,0.7264367816091954,0.7213114754098359,2,64,gru,0.005775875548345632,True,True,30,p8_best
p8_best_s42,direction,,,,,,,0.7402298850574712,0.7365967365967365,2,64,gru,0.005775875548345632,True,True,60,p8_best
p8_best_s5,direction,,,,,,,0.7195402298850575,0.7067307692307693,2,64,gru,0.005775875548345632,True,True,19,p8_best
p8_best_s777,direction,,,,,,,0.728735632183908,0.7135922330097088,2,64,gru,0.005775875548345632,True,True,33,p8_best
p8_best_s7,direction,,,,,,,0.7149425287356321,0.7194570135746606,2,64,gru,0.005775875548345632,True,True,19,p8_best
p8_best_s999,direction,,,,,,,0.728735632183908,0.7242990654205609,2,64,gru,0.005775875548345632,True,True,28,p8_best
sofaixab_s0,direction,,,,,,,0.6850393700787402,0.6666666666666666,10,64,gru,0.0039468,True,True,22,sofaixab
sofaixab_s1,direction,,,,,,,0.6929133858267716,0.6803278688524591,10,64,gru,0.0039468,True,True,21,sofaixab
sofaixab_s2,direction,,,,,,,0.7086614173228346,0.6991869918699187,10,64,gru,0.0039468,True,True,21,sofaixab
sofaixab_s42,direction,,,,,,,0.7125984251968503,0.6919831223628692,10,64,gru,0.0039468,True,True,27,sofaixab
soretb_s0,direction,,,,,,,0.6904761904761905,0.6829268292682927,10,64,gru,0.0039468,True,True,31,soretb
soretb_s1,direction,,,,,,,0.7023809523809523,0.6887966804979253,10,64,gru,0.0039468,True,True,42,soretb
soretb_s2,direction,,,,,,,0.7063492063492064,0.7016129032258064,10,64,gru,0.0039468,True,True,37,soretb
soretb_s42,direction,,,,,,,0.6944444444444444,0.6882591093117408,10,64,gru,0.0039468,True,True,35,soretb
