epoch,train_loss,val_loss
1,0.6879096277473371,0.6730018710267955
2,0.6464070249336946,0.6359018381984755
3,0.5990108534894182,0.5847725827118446
4,0.5639626969900138,0.5707923886419712
5,0.5551727908990995,0.5558371215031065
6,0.536293098553872,0.5612385903281727
7,0.5305465288760951,0.5614032139038218
8,0.5311732511349323,0.5678781897857271
9,0.5473566872809347,0.540218305998835
10,0.5211692431047893,0.5543792419049932
11,0.525563019578996,0.5394988190168621
12,0.5275175509202336,0.5342313791143483
13,0.5472701656978761,0.5416719529820585
14,0.5344669071242719,0.5408638071739811
15,0.5250178325794814,0.5405810728840444
16,0.5150884973514087,0.5521961406044577
17,0.5265700629817455,0.540562749251552
18,0.5187049590571426,0.5466522259273748
19,0.5191722281616059,0.5313545105786159
20,0.5233361074399062,0.5459644489589779
21,0.5225563315838136,0.554982975639146
22,0.536276986742539,0.5397219904537859
23,0.515921826854415,0.539957239367496
24,0.5114477904159086,0.5410933744633335
25,0.5099181749742815,0.5488866618995009
26,0.5118825882386886,0.5382697815182566
27,0.5164564970324698,0.5623819721841264
28,0.5085366905537422,0.5911829159862694
29,0.515300845695107,0.5349295009141681
