epoch,train_loss,val_loss,val_accuracy
1,1.9660907341003417,1.7255247457504272,0.3758
2,1.799172156545851,1.6160623920440673,0.4274
3,1.7266878207524619,1.5465368160247803,0.4494
4,1.6884706441879271,1.5330332962036133,0.4514
5,1.6496397354973686,1.475006490135193,0.4688
6,1.625832496939765,1.4607364194869996,0.4806
7,1.605088464779324,1.4498028591156007,0.481
8,1.5834436230977376,1.4082514043807983,0.4892
9,1.56642789094713,1.3925901596069337,0.496
10,1.5524555364820691,1.3498996965408325,0.513
11,1.5317343141343858,1.3595677549362182,0.5162
12,1.5243006281322904,1.342181221961975,0.5182
13,1.5109806559032863,1.3337625776290893,0.527
14,1.498049596701728,1.3092179545402527,0.5372
15,1.4832140454186333,1.3086978755950929,0.536
16,1.4758297491285537,1.2934462133407594,0.541
17,1.464006685172187,1.2970152179718017,0.546
18,1.4494641470591227,1.2752226160049438,0.548
19,1.444915290429857,1.2672835651397705,0.5558
20,1.4301101301405166,1.2571343263626098,0.5546
21,1.4294646268632676,1.238301166534424,0.5676
22,1.4167992060343424,1.2310184263229371,0.5644
23,1.4111834122127958,1.2614909091949462,0.5502
24,1.3995461280610826,1.2207406673431396,0.5672
25,1.3977385516060723,1.2142750635147095,0.5754
26,1.384568747859531,1.2104544271469115,0.5754
27,1.377331763818529,1.2000245923995971,0.575
28,1.3757676308525932,1.2040455678939819,0.5728
29,1.370482446246677,1.2006398441314696,0.5776
30,1.3635291095309787,1.1875150215148926,0.579
31,1.3562447738223606,1.1870254981994628,0.5794
32,1.3553723237143622,1.1762980054855348,0.582
33,1.352026980887519,1.1789013092041016,0.5782
34,1.3425992859310574,1.1821729431152344,0.584
35,1.3488033596674602,1.1774037952423095,0.5832
36,1.3402784949408637,1.1765291833877562,0.586
37,1.3396519296858045,1.1844732019424438,0.5828
38,1.3390571926964654,1.1748528022766114,0.5832
39,1.3338468736012776,1.1724288154602052,0.5858
40,1.3383087936613294,1.1739598285675048,0.5848
