epoch,train_loss,val_loss
1,0.6927519546151834,0.6784168635264481
2,0.6897498422303355,0.6539539541348373
3,0.6812144376110735,0.5912306420873887
4,0.6430998436493427,0.5984266890157567
5,0.5835830157343403,0.6677261378505442
6,0.5598606211558539,0.7140900073665204
7,0.5597368449879875,0.7118237821182402
8,0.5418959957166347,0.7081900657993732
9,0.5409304810752997,0.7044073024598678
10,0.5369234703976783,0.6987203631070581
11,0.5426962151535468,0.6778402045221612
12,0.530187304118037,0.6724105849124418
13,0.5291042251947096,0.6716334017196505
14,0.5227810613466626,0.651175591025022
15,0.5221656286729901,0.6482908111987727
16,0.5209784990233257,0.6412875274620434
17,0.5182169259199295,0.6390655701703364
18,0.5113005829636919,0.6271179961686087
