epoch,train_loss,val_loss,val_accuracy
1,1.797017787806193,1.7062700773239137,0.4032
2,1.6647508404837714,1.6400401023864746,0.4324
3,1.5954934222751194,1.6070797609329224,0.4346
4,1.542942587322659,1.5927931972503662,0.4386
5,1.5055196651034886,1.554949100112915,0.4436
6,1.4735807921303643,1.5645155822753907,0.4472
7,1.4464048716439142,1.5485932437896728,0.45
8,1.4178507467693753,1.5491675786972046,0.4598
9,1.3928201310051813,1.5534120464324952,0.4522
10,1.3733140967686972,1.5351254768371583,0.4688
11,1.3548112483872308,1.5216069702148438,0.4588
12,1.3303586454603407,1.5232422986984253,0.4662
13,1.3119383431752523,1.528045486831665,0.4608
14,1.2973821443769666,1.5207300899505616,0.468
15,1.2725306762695312,1.5401089334487914,0.4574
16,1.2495377269744874,1.535768518447876,0.4654
17,1.2314428406185574,1.5358515565872193,0.4634
18,1.220989949629042,1.5413985939025878,0.4716
